,0
0,0.0011804332297289028
1,0.0008391009217670956
2,0.000560777118596987
3,0.0005425223167968816
4,0.0005680495978406476
5,0.0004945310445143356
6,0.00035777974740651544
7,0.00032095885884808286
8,0.000308498506119343
9,0.0002646912252048535
10,0.0003232696707835584
11,0.00031457206991297834
12,0.0002665769022892389
13,0.0002510247144605148
14,0.0003104029315732979
15,0.0002978746823944627
16,0.00035453383978607735
17,0.0003787895031493009
18,0.0006214306128501999
19,0.0009579493265655125
20,0.0013313172778504326
21,0.0016604458927387156
22,0.0018701198446322616
23,0.00195730522800546
24,0.0019580636973108826
25,0.0019339845841067826
26,0.0019254330128391992
27,0.001970624951461807
28,0.002930780721411148
29,0.003605646863354889
30,0.003644948076707161
31,0.002987983834274198
32,0.0019806731268260814
33,0.001354616589711545
34,0.0017342208044756713
35,0.00209266762931631
36,0.002265076768004746
37,0.0022255503552327913
38,0.002742417201175817
39,0.0032458836663038274
40,0.003318712005936788
41,0.0029997850244260914
42,0.0024513251776585756
43,0.0019123660916373461
44,0.001489867922550435
45,0.0012182080395159735
46,0.0018115286695666922
47,0.0020553536036211593
48,0.0021020981781560088
49,0.0026723190638170843
50,0.006227844957292943
51,0.011878539290131409
52,0.018192019110584594
53,0.022998094226315637
54,0.026037143829079824
55,0.02916169995828566
56,0.03267516203357884
57,0.031508059132622765
58,0.02649414941011089
59,0.01939264663078151
60,0.012247081082105033
61,0.01665577006204482
62,0.023684165659760156
63,0.027920225449766127
64,0.028431493832072288
65,0.026905647700085654
66,0.024267947909343994
67,0.02109851531580043
68,0.017020627332943395
69,0.014509071398817172
70,0.012070213855715113
71,0.009180118225888278
72,0.009206584526111606
73,0.01564379830608008
74,0.022228579973327424
75,0.027090370152208235
76,0.028814505075973412
77,0.026871032974071597
78,0.021469192925531556
79,0.014299805680031433
80,0.007753356079186337
81,0.0032883713590609633
82,0.0025112988912249406
83,0.0025156896247562725
84,0.0032561278300468526
85,0.006045976130066605
86,0.012053959579214004
87,0.021282306385857538
88,0.03154419508013856
89,0.03924966332938368
90,0.044982185650036866
91,0.052641389134405386
92,0.053682897760604545
93,0.05499871294194737
94,0.06883430135848578
95,0.07442387576711262
96,0.07002262524755043
97,0.057845452753533935
98,0.04140176359099401
99,0.03449589236383318
100,0.030973951705637107
101,0.037948248521511525
102,0.043227507792986064
103,0.04505065798939818
104,0.051226735841915005
105,0.048953393572367374
106,0.0392957328185972
107,0.02630478594328709
108,0.019772393092536727
109,0.020391564096883103
110,0.01937879764095666
111,0.021290706015568442
112,0.02272667754881362
113,0.02328596952997348
114,0.02311916336518185
115,0.022339589807899636
116,0.02107270624405451
117,0.02559341453084732
118,0.029464007679434405
119,0.029557730227628275
120,0.030504486905006196
121,0.030528299532284975
122,0.02888960503950439
123,0.02592215664694912
124,0.02205713068412086
125,0.01782706734711081
126,0.013537302105541216
127,0.020114693253459725
128,0.03634720226651368
129,0.05417314508275069
130,0.06867965669631643
131,0.07502116744285035
132,0.07160710766731326
133,0.05956252916197373
134,0.04233540282463519
135,0.025023499701281527
136,0.0210115234636181
137,0.0220599831164367
138,0.021243924838297113
139,0.023134552570239986
140,0.02525260358146193
141,0.030663837264430845
142,0.032252408616601363
143,0.029648057681554263
144,0.02352862005928004
145,0.016129501667914457
146,0.020795993978221915
147,0.029866522100912625
148,0.03501131956366161
149,0.03403636698804957
150,0.02643080296256664
151,0.015882867620457587
152,0.015382302608756972
153,0.026714414522182487
154,0.0413691578710213
155,0.05430805400828902
156,0.06191505698432035
157,0.06200154307855152
158,0.055212178715647875
159,0.043881607338734696
160,0.03091585877175767
161,0.020092001032376777
162,0.01582373220307083
163,0.012025556889864605
164,0.018587460272419563
165,0.02562339718452453
166,0.03157741287460309
167,0.03504372718207274
168,0.03539375612179323
169,0.03270272965602673
170,0.02755404052214419
171,0.02117863111531884
172,0.018297921332727535
173,0.023971845441849868
174,0.028485586894419143
175,0.03063678240886893
176,0.029492840454620896
177,0.024637471856210274
178,0.01705280560436377
179,0.00897542900705036
180,0.012247735156108316
181,0.018690826733700136
182,0.024184820241615702
183,0.04038342571925362
184,0.06268614142044393
185,0.08014132925775438
186,0.08569632255061768
187,0.0784878492521531
188,0.06155777284230805
189,0.040470587311848605
190,0.021433902088992027
191,0.009813486894185968
192,0.00992647204069477
193,0.011998025926004617
194,0.01287560515882227
195,0.012000281608369284
196,0.009423459636565133
197,0.00623654345982794
198,0.005484720301700158
199,0.004451399341821961
200,0.0034386533059260296
201,0.0023511088317919016
202,0.0015242546322006265
203,0.0014101631626556503
204,0.0011907059903878752
205,0.0007716914316448876
206,0.0005561373956480312
207,0.0008146769140298143
208,0.0009431809199392725
209,0.0010711077783798935
210,0.0009899890242767962
211,0.0007629031413474787
212,0.0006021567030674308
213,0.0006354548903627484
214,0.0006601576515013708
215,0.000670559665872022
216,0.0007110414503183674
217,0.0007444757231132365
218,0.0006980164758105027
219,0.0005522626667243168
220,0.0004475327293600566
221,0.0005928456320751395
222,0.0006753314041785866
223,0.0006923838184761612
224,0.0006367243713440798
225,0.000517178343905583
226,0.00035513861019681784
227,0.00026855679811548866
228,0.00034513469690043014
229,0.0005140474154698576
230,0.0006271516882612065
231,0.0006180459403863533
232,0.0004842276710668103
233,0.0004069968025833306
234,0.0005189465424130853
235,0.0005601718191758929
236,0.0007773666796111818
237,0.0010021970427943213
238,0.0010871452663293159
239,0.0010359128587539427
240,0.0008966505481230885
241,0.0007337894806575746
242,0.0005899266918813803
